Target Distance:100 , Step Size: 10
1(x,y) = (9.56305, -2.92372)
2(x,y) = (19.525, -2.05216)
3(x,y) = (29.4869, -1.1806)
4(x,y) = (27.9226, 8.69628)
5(x,y) = (20.7292, 1.7497)
6(x,y) = (27.1571, -5.91075)
7(x,y) = (34.4706, 0.909237)
8(x,y) = (31.3804, -8.60133)
9(x,y) = (21.4185, -7.72977)
10(x,y) = (18.3283, 1.78079)
11(x,y) = (9.26525, -2.44539)
12(x,y) = (7.7009, 7.43149)
13(x,y) = (9.60899, 17.2478)
14(x,y) = (15.9022, 9.47631)
15(x,y) = (15.0306, -0.48564)
16(x,y) = (6.12057, -5.02554)
17(x,y) = (-1.65089, -11.3187)
18(x,y) = (-11.6265, -10.6212)
19(x,y) = (-21.2858, -8.03299)
20(x,y) = (-27.4424, -15.9131)
21(x,y) = (-37.1861, -13.6636)
22(x,y) = (-46.0156, -8.96887)
23(x,y) = (-55.9912, -9.66644)
24(x,y) = (-49.8346, -1.78633)
25(x,y) = (-54.5293, 7.04314)
26(x,y) = (-62.0764, 0.482553)
27(x,y) = (-71.3483, -3.26351)
28(x,y) = (-63.8012, 3.29708)
29(x,y) = (-72.9366, -0.770289)
30(x,y) = (-79.3645, 6.89016)
31(x,y) = (-79.539, 16.8886)
32(x,y) = (-79.539, 26.8886)
33(x,y) = (-87.1995, 33.3165)
34(x,y) = (-96.1095, 28.7766)
After 34 steps,the subject has the following location.
(m,a) = (100.325, 163.332)
Average outward distance per step = 2.95074
1(x,y) = (-4.38371, -8.98794)
2(x,y) = (-12.1552, -2.69474)
3(x,y) = (-21.3602, -6.60205)
4(x,y) = (-29.2403, -0.445433)
5(x,y) = (-37.3305, -6.32329)
6(x,y) = (-38.8948, 3.5536)
7(x,y) = (-48.8203, 2.3349)
8(x,y) = (-57.392, 7.48529)
9(x,y) = (-48.8203, 2.3349)
10(x,y) = (-50.3846, -7.54198)
11(x,y) = (-59.4477, -3.3158)
12(x,y) = (-64.1424, 5.51368)
13(x,y) = (-61.7232, -4.18928)
14(x,y) = (-51.7247, -4.3638)
15(x,y) = (-45.5681, -12.2439)
16(x,y) = (-45.2191, -2.25)
17(x,y) = (-43.14, -12.0315)
18(x,y) = (-33.4808, -9.44329)
19(x,y) = (-36.901, -18.8402)
20(x,y) = (-44.6724, -25.1334)
21(x,y) = (-54.2355, -22.2097)
22(x,y) = (-53.0168, -12.2842)
23(x,y) = (-56.1069, -2.77367)
24(x,y) = (-57.4987, -12.6764)
25(x,y) = (-60.7544, -22.1315)
26(x,y) = (-54.5977, -30.0116)
27(x,y) = (-49.4474, -38.5833)
28(x,y) = (-42.5008, -45.7767)
29(x,y) = (-51.7726, -49.5228)
30(x,y) = (-54.8628, -59.0333)
31(x,y) = (-55.7343, -49.0714)
32(x,y) = (-58.6581, -39.5084)
33(x,y) = (-67.3183, -34.5084)
34(x,y) = (-74.3894, -41.5794)
